track_id,nfl_id,player,jersey,pos,team,n_obs,n_overlap_frames,match_cost_yd,pos_rmse_yd,pos_mean_yd,pos_p50_yd,pos_p90_yd,speed_rmse_yds,speed_corr,speed_mean_us_yds,speed_mean_ngs_yds,accel_rmse_yds2,accel_corr
1,2560952,Jaire Alexander,23,CB,GB,106,106,0.481550356484424,0.5417964919068458,0.48155035648442396,0.41843777770158685,0.8491046655242054,1.0944713111361144,0.9432788352781981,4.804491819052795,4.517452830188679,9.211821452839507,0.193225774883353
2,2562376,Rashan Gary,52,LB,GB,89,89,0.6097052330428143,0.820280040353626,0.6097052330428143,0.3947813739558935,1.2259969215362394,1.1658010460038386,0.9321497800815612,2.5542526166289035,2.0222471910112354,6.072118142457302,0.3267148720222768
3,2506789,Tramon Williams,38,CB,GB,106,106,0.4217245918544104,0.47846682461535034,0.42172459185441036,0.3860686877056101,0.6943021505099027,1.1886944446566452,0.9354983991920667,3.8805784125170653,3.4812264150943397,8.003980239248223,0.3181893510722303
4,2555340,Kyler Fackrell,51,OLB,GB,106,106,0.39097878096723604,0.46541979558241614,0.39097878096723604,0.3227734945064996,0.7179314301965252,1.3890052332847804,0.8380544698570648,2.813443868038848,2.219622641509434,9.990831693703466,0.23973598300542967
5,2550512,Damien Williams,26,RB,KC,104,104,0.3574367858342845,0.39661930031891746,0.3574367858342845,0.2786713067746593,0.5812209085764019,0.7946433970835102,0.975544970473916,4.036216186204092,3.8036538461538467,5.776755449576312,0.2729893783245902
6,2556214,Tyreek Hill,10,WR,KC,99,99,0.3718687117214354,0.45662559513066364,0.3718687117214354,0.2441208790831961,0.8246694657486993,1.293553150278125,0.9249648699630523,3.4611673382947576,3.0758585858585863,8.37172852420668,0.22695414716385964
7,2560887,Chandon Sullivan,39,CB,GB,106,106,0.32329254157985693,0.38684705645624057,0.32329254157985693,0.2825175803515055,0.611823411690706,0.9039163172902556,0.9408046921941717,2.6671705160640933,2.4479245283018862,7.220624367733381,0.30249156241388925
8,2552385,Adrian Amos,31,FS,GB,106,106,0.3288247548717609,0.353694947053657,0.3288247548717609,0.3278019420889411,0.5197963509372681,1.113731413880596,0.8940783474191448,3.016944003409723,2.842830188679246,9.101840341062406,0.05149824360605629
9,2543457,Sammy Watkins,14,WR,KC,102,102,0.4366637741658691,0.49646431447431133,0.4366637741658691,0.3333407909151862,0.7687695516827172,1.0379216674454845,0.9577618079357069,3.6090739244518932,3.344019607843137,7.555407401326461,0.2716903115492387
10,2540258,Travis Kelce,87,TE,KC,106,106,0.5427249029604163,0.5721040072569445,0.5427249029604163,0.5866717927326746,0.7485536479867356,1.1968999500530075,0.9505376320739627,3.9796945437670472,3.7277358490566037,8.030483737141347,0.24872916927149613
