# 2019102712_play_118 vs NGS (TSV: 2019_GB_2019102712_3067.tsv)

Our cutoff frames: 314 @ 30 fps
NGS players: 22, snap_frame_ngs: 140
Best our-snap-frame: 108 (= 3.60s into clip)
Matched pairs: 22

## Aggregate (median across matched players)
  pos_rmse_yd             median=0.765  mean=0.963
  pos_p50_yd              median=0.474  mean=0.534
  pos_p90_yd              median=0.805  mean=1.378
  speed_rmse_yds          median=1.715  mean=1.735
  speed_corr              median=0.743  mean=0.718
  accel_rmse_yds2         median=9.456  mean=9.150
  accel_corr              median=0.185  mean=0.183

## Per-player
 track_id  nfl_id           player  jersey pos team  n_obs  n_overlap_frames  match_cost_yd  pos_rmse_yd  pos_mean_yd  pos_p50_yd  pos_p90_yd  speed_rmse_yds  speed_corr  speed_mean_us_yds  speed_mean_ngs_yds  accel_rmse_yds2  accel_corr
        1 2558116      Aaron Jones      33  RB   GB    105               105       0.610253     0.795815     0.610253    0.487685    0.863415        1.316186    0.843196           2.139797            1.866952        10.072320    0.317439
        2  497236     Jimmy Graham      80  TE   GB    105               105       0.485336     0.521242     0.485336    0.459389    0.750170        1.521280    0.811551           2.181515            1.566000         9.385635    0.189237
        3 2552686    Damien Wilson      54 OLB   KC    102               102       0.609432     0.665376     0.609432    0.566343    0.981555        1.414361    0.906152           3.039421            2.364608         8.189986    0.271152
        4 2533059 Morris Claiborne      20  CB   KC    105               105       0.564737     0.641607     0.564737    0.558273    0.820771        1.239196    0.559547           2.089060            1.749524         9.526352    0.260382
        5  496988     Bryan Bulaga      75  OT   GB    103               103       0.410656     0.502880     0.410656    0.317377    0.647752        1.909073    0.768257           2.411819            1.800097         8.188555    0.124977
        6 2543740     Billy Turner      77  OG   GB    105               105       0.578714     0.838937     0.578714    0.449173    0.699884        2.300547    0.575420           1.940657            1.068952         8.176165   -0.072097
        7 2495888   Marcedes Lewis      89  TE   GB    105               105       0.641279     0.848325     0.641279    0.530668    0.943693        2.266697    0.744729           3.147854            2.332762         9.537575    0.166228
        8 2506363    Aaron Rodgers      12  QB   GB     96                96       0.279212     0.465297     0.279212    0.157590    0.610979        1.116410    0.856750           1.979057            1.533854         5.353146    0.273001
        9 2561383      Ben Niemann      56  LB   KC    105               105       0.486895     0.542806     0.486895    0.428516    0.788329        1.751299    0.740941           2.729140            2.492952        12.527987    0.197102
       10 2555169   Reggie Ragland      59 ILB   KC    105               105       0.448109     0.766162     0.448109    0.307502    0.636291        1.330906    0.852768           2.266803            1.718000         7.886639    0.256144
       11 2561417  Charvarius Ward      35  DB   KC     98                98       0.763594     0.827932     0.763594    0.672107    1.236610        1.098887    0.764868           1.951643            1.621633         8.386317    0.172919
       12 2558185 Tanoh Kpassagnon      92  DE   KC    104               104       0.510860     0.682662     0.510860    0.398558    0.909614        1.832278    0.610831           2.342019            1.416346        11.342723    0.156475
       13 2558204  Jamaal Williams      30  RB   GB     74                74       0.508974     0.532132     0.508974    0.530826    0.687840        1.049374    0.903961           2.105784            1.827568         6.077429    0.398785
       14 2543631    Corey Linsley      63   C   GB    102               102       2.681452     3.678098     2.681452    1.453496    7.186861        2.342901    0.548622           2.363320            1.497059        10.660918   -0.019255
       15 2562723  Khalen Saunders      99  DT   KC    105               105       0.511862     0.764733     0.511862    0.403762    0.726881        2.287805    0.493655           2.362447            1.310571        10.286938    0.162974
       16 2540180   Tyrann Mathieu      32  FS   KC    105               105       0.539038     0.780828     0.539038    0.432027    0.888801        2.729824    0.390236           2.624358            1.544857        10.312859    0.142080
       17 2555218     Danny Vitale      45  FB   GB     98                98       0.687920     0.766332     0.687920    0.592782    1.210232        0.906319    0.955355           2.827480            2.571633         7.879199    0.263599
       18 2555278   Emmanuel Ogbah      90  DE   KC     93                93       0.513962     0.594719     0.513962    0.516498    0.675232        2.397109    0.539752           2.723686            1.926989        12.156783   -0.212117
       19 2562671   Elgton Jenkins      74   G   GB    104               104       0.549000     0.782437     0.549000    0.516959    0.671233        1.795081    0.726636           1.811234            1.058750         8.101949    0.180863
       20 2540183  David Bakhtiari      69   T   GB    105               105       0.470975     0.744180     0.470975    0.346693    0.736775        1.660241    0.718816           2.004351            1.223048         9.613787    0.296738
       21 2550242      Mike Pennel      64  NT   KC     83                83       1.456107     3.106914     1.456107    0.441264    5.906382        1.678252    0.734252           2.083283            0.963976         6.931147    0.315862
       22 2560823    Derrick Nnadi      91  NT   KC     99                99       1.165488     1.331885     1.165488    1.185160    1.746094        2.226132    0.759956           3.040349            2.356667        10.696520    0.179349
