track_id,nfl_id,player,jersey,pos,team,n_obs,n_overlap_frames,match_cost_yd,pos_rmse_yd,pos_mean_yd,pos_p50_yd,pos_p90_yd,speed_rmse_yds,speed_corr,speed_mean_us_yds,speed_mean_ngs_yds,accel_rmse_yds2,accel_corr
1,2553548,Jake Kumerow,16,WR,GB,165,165,0.3083694663548558,0.3930177520173521,0.3083694663548558,0.17217663491022003,0.6958578191655531,1.1563648995497504,0.9591033228501431,3.572427379573132,3.302060606060606,8.884432869084637,0.2551918736615938
2,2561417,Charvarius Ward,35,DB,KC,158,158,0.31404673122530946,0.36705557200764305,0.31404673122530946,0.24324153627644204,0.5265934267918037,0.9044501826904328,0.9259237737914061,1.778761481652573,1.5734177215189875,7.277810666359542,0.27148026637617223
3,2560787,Allen Lazard,13,WR,GB,158,158,0.31957225104783415,0.3605131035511268,0.31957225104783415,0.25820304691349216,0.5328945304656294,0.8923268547050506,0.9321849552108383,1.4411674249020043,1.1955696202531647,6.545699132679677,0.2585163513534105
4,2562761,Juan Thornhill,22,DB,KC,165,165,0.2937463234227751,0.34534918703074036,0.2937463234227751,0.2621892278004243,0.46447119775681683,1.5656038490920163,0.7437983533836594,2.3899545498801453,2.061575757575757,10.112214912618875,0.0877634399840561
5,2555278,Emmanuel Ogbah,90,DE,KC,156,156,2.118303247828537,4.079946620693004,2.118303247828537,0.7093519580230363,8.204190200215603,1.4792995054323919,0.6606791268037399,1.186158416194734,1.330769230769231,5.9552273842406125,-0.026233603309592415
6,2556460,Geronimo Allison,81,WR,GB,165,165,0.2764259730908121,0.3352687197840207,0.2764259730908121,0.22531250485993595,0.5684984567346009,1.0133126684885319,0.9500217531847596,2.0617831838261247,1.7506060606060605,6.214961725391768,0.2742716766930361
7,2550257,Daniel Sorensen,49,SS,KC,170,170,0.3369335448247046,0.42061133276391605,0.33693354482470456,0.31861241111753047,0.6336631459003792,1.0507918125493825,0.9586116168938327,2.901965980509018,2.6548823529411765,7.402955807534392,0.19338145430330764
8,2540180,Tyrann Mathieu,32,FS,KC,170,170,0.4353165980270307,0.47243796368979274,0.4353165980270307,0.4063722098091379,0.6433149450945566,1.034097054243305,0.9509642305353062,2.8658978075363017,2.65335294117647,7.781770965547962,0.17273965785865456
9,2561383,Ben Niemann,56,LB,KC,159,159,0.4600312942687591,0.484820744053798,0.4600312942687591,0.465674637298963,0.602212471084295,0.8757037097173438,0.9384800618476228,1.7131323309070576,1.5162264150943399,6.999844643401876,0.24786145163770423
10,2562649,Rashad Fenton,27,DB,KC,160,160,0.3374178300814129,0.40140440758440293,0.3374178300814129,0.27812733237013976,0.6369642019965323,0.7752295304107103,0.9560746188951691,1.8995590250668382,1.6270624999999999,4.654928376545156,0.46740752595731877
11,2495888,Marcedes Lewis,89,TE,GB,161,161,0.3192235856751646,0.4238593389828673,0.31922358567516457,0.2111337884024428,0.6999333019780405,1.0476260731787528,0.9380003520583957,1.9469732934856248,1.5704968944099378,6.501860587808735,0.24658964840788478
12,496988,Bryan Bulaga,75,OT,GB,156,156,0.3187568901562216,0.3446441936791381,0.3187568901562216,0.30946359423824804,0.40209374158248634,1.2595605304956008,0.801549635755626,1.4483525093208063,1.0426923076923076,6.5961096492549345,0.055674695192775896
13,2558116,Aaron Jones,33,RB,GB,154,154,0.3239526921125593,0.3830174143204569,0.3239526921125593,0.3215851442328003,0.5086315544103492,1.6221899385604022,0.7372261797673677,1.3656641977795463,0.9219480519480518,10.444144849957588,0.0588843141023009
14,2558185,Tanoh Kpassagnon,92,DE,KC,158,158,0.6231285278882602,0.6578914947904537,0.6231285278882602,0.7127162792078402,0.7783228798471453,1.3455745146605687,0.7302661029311798,1.178105992176915,0.72373417721519,9.859805612713775,0.07753966455157295
